id,descripcion,grupo
B52,Paludismo [malaria] debido a Plasmodium malaria,A00-B99
B53,Otro paludismo [malaria] confirmado parasitológicamente,A00-B99
B54,Paludismo [malaria] no especificado,A00-B99
B55,Leishmaniasis,A00-B99
B56,Tripanosomiasis africana,A00-B99
B57,Enfermedad de Chagas,A00-B99
B58,Toxoplasmosis,A00-B99
B59,Neumocistosis,A00-B99
B60,"Otras enfermedades debidas a protozoarios, no clasificadas en otra parte",A00-B99
B64,"Enfermedad debida a protozoarios, no especificada",A00-B99
B65,Esquistosomiasis [bilharziasis],A00-B99
B66,Otras infecciones debidas a tremátodos,A00-B99
B67,Equinococosis,A00-B99
B68,Teniasis,A00-B99
B69,Cisticercosis,A00-B99
B70,Difilobotriasis y esparganosis,A00-B99
B71,Otras infecciones debidas a cestodos,A00-B99
B72,Dracontiasis,A00-B99
B73,Oncocercosis,A00-B99
B74,Filariasis,A00-B99
B75,Triquinosis,A00-B99
B76,Anquilostomiasis y necatoriasis,A00-B99
B77,Ascariasis,A00-B99
B78,Estrongiloidiasis,A00-B99
B79,Tricuriasis,A00-B99
B80,Enterobiasis,A00-B99
B81,"Otras helmintiasis intestinales, no clasificadas en otra parte",A00-B99
B82,"Parasitosis intestinales, sin otra especificación",A00-B99
B83,Otras helmintiasis,A00-B99
B85,Pediculosis y pithiriasis,A00-B99
B86,Escabiosis,A00-B99
B87,Miasis,A00-B99
B88,Otras infestaciones,A00-B99
B89,"Enfermedad parasitaria, no especificada",A00-B99
B90,Secuelas de tuberculosis,A00-B99
B91,Secuelas de poliomielitis,A00-B99
B92,Secuelas de lepra,A00-B99
B94,Secuelas de otras enfermedades infecciosas y parasitarias y de las no especificadas,A00-B99
B95,Estreptococos y estafilococos como causa de enfermedades clasificadas en otros capítulos,A00-B99
B96,Otros agentes bacterianos como causa de enfermedades clasificadas en otros capítulos,A00-B99
B97,Agentes virales como causa de enfermedades clasificadas en otros capítulos,A00-B99
B99,Otras enfermedades infecciosas y las no especificadas,A00-B99
C00,Tumor maligno del labio,C00-D48
C01,Tumor maligno de la base de la lengua,C00-D48
C02,Tumor maligno de otras partes y de las no especificadas de la lengua,C00-D48
C03,Tumor maligno de la encia,C00-D48
C04,Tumor maligno del piso de la boca,C00-D48
C05,Tumor maligno del paladar,C00-D48
C06,Tumor maligno de otras partes y de las no especificadas de la boca,C00-D48
C07,Tumor maligno de la glándula parótida,C00-D48
C08,Tumor maligno de otras glándulas salivales mayores y de las no especificadas,C00-D48
C09,Tumor maligno de la amígdala,C00-D48
C10,Tumor maligno de la orofaringe,C00-D48
C11,Tumor maligno de la nasofaringe,C00-D48
C12,Tumor maligno del seno piriforme,C00-D48
C13,Tumor maligno de la hipofaringe,C00-D48
C14,"Tumor maligno de otros sitios y de los mal definidos del labio, de la cavidad bucal y de la faringe",C00-D48
C15,Tumor maligno del esófago,C00-D48
C16,Tumor maligno del estomago,C00-D48
C17,Tumor maligno del intestino delgado,C00-D48
C18,Tumor maligno del colon,C00-D48
C19,Tumor maligno de la unión rectosigmoidea,C00-D48
C20,Tumor maligno del recto,C00-D48
C21,Tumor maligno del ano y del conducto anal,C00-D48
C22,Tumor maligno del higado y de las vias biliares intrahepaticas,C00-D48
C23,Tumor maligno de la vesicula biliar,C00-D48
C24,Tumor maligno de otras partes y de las no especificadas de las vias biliares,C00-D48
C25,Tumor maligno del páncreas,C00-D48
C26,Tumor maligno de otros sitios y de los mal definidos de los órganos digestivos,C00-D48
C30,Tumor maligno de las fosas nasales y del oído medio,C00-D48
C31,Tumor maligno de los senos paranasales,C00-D48
C32,Tumor maligno de la laringe,C00-D48
C33,Tumor maligno de la traquea,C00-D48
C34,Tumor maligno de los bronquios y del pulmón,C00-D48
C37,Tumor maligno del timo,C00-D48
C38,"Tumor maligno del corazón, del mediastino y de la pleura",C00-D48
C39,Tumor maligno de otros sitios y de los mal definidos del sistema respiratorio y de los órganos intratorácicos,C00-D48
C40,Tumor maligno de los huesos y de los cartílagos articulares de los miembros,C00-D48
C41,"Tumor maligno de los huesos y de los cartílagos articulares, de otros sitios y de sitios no especificados",C00-D48
C43,Melanoma maligno de la piel,C00-D48
C44,Otros tumores malignos de la piel,C00-D48
C45,Mesotelioma,C00-D48
C46,Sarcoma de Kaposi,C00-D48
C47,Tumor maligno de los nervios periféricos y del sistema nervioso autónomo,C00-D48
C48,Tumor maligno del peritoneo y del retroperitoneo,C00-D48
C49,Tumor maligno de otros tejidos conjuntivos y de tejidos blandos,C00-D48
C50,Tumor maligno de la mama,C00-D48
C51,Tumor maligno de la vulva,C00-D48
C52,Tumor maligno de la vagina,C00-D48
C53,Tumor maligno del cuello del útero,C00-D48
C54,Tumor maligno del cuerpo del útero,C00-D48
C55,"Tumor maligno del útero, parte no especificada",C00-D48
C56,Tumor maligno del ovario,C00-D48
C57,Tumor maligno de otros órganos genitales femeninos y de los no especificados,C00-D48
C58,Tumor maligno de la placenta,C00-D48
C60,Tumor maligno del pene,C00-D48
C61,Tumor maligno de la próstata,C00-D48
C62,Tumor maligno del testículo,C00-D48
C63,Tumor maligno de otros órganos genitales masculinos y de los no especificados,C00-D48
C64,"Tumor maligno del riñon, excepto de la pelvis renal",C00-D48
C65,Tumor maligno de la pelvis renal,C00-D48
C66,Tumor maligno del uréter,C00-D48
C67,Tumor maligno de la vejiga urinaria,C00-D48
C68,Tumor maligno de otros órganos urinarios y de los no especificados,C00-D48
C69,Tumor maligno del ojo y sus anexos,C00-D48
C70,Tumor maligno de las meninges,C00-D48
C71,Tumor maligno del encéfalo,C00-D48
C72,"Tumor maligno de la medula espinal, de los nervios craneales y de otras partes del sistema nervioso central",C00-D48
C73,Tumor maligno de la glándula tiroides,C00-D48
C74,Tumor maligno de la glándula suprarrenal,C00-D48
C75,Tumor maligno de otras glándulas endocrinas y de estructuras afines,C00-D48
C76,Tumor maligno de otros sitios y de sitios mal definidos,C00-D48
C77,Tumor maligno secundario y el no especificado de los ganglios linfáticos,C00-D48
C78,Tumor maligno secundario de los órganos respiratorios y digestivos,C00-D48
C79,Tumor maligno secundario de otros sitios,C00-D48
C80,Tumor maligno de sitios no especificados,C00-D48
C81,Enfermedad de Hodgkin,C00-D48
C82,Linfoma no Hodgkin folicular [nodular],C00-D48
C83,Linfoma no Hodgkin difuso,C00-D48
C84,"Linfoma de células T, periférico y cutáneo",C00-D48
C85,Linfoma no Hodgkin de otro tipo y el no especificado,C00-D48
C88,Enfermedades inmunoproliferativas malignas,C00-D48
C90,Mieloma múltiple y tumores malignos de células plasmáticas,C00-D48
C91,Leucemia linfoide,C00-D48
C92,Leucemia mieloide,C00-D48
C93,Leucemia monocitica,C00-D48
C94,Otras leucemias de tipo celular especificado,C00-D48
C95,Leucemia de células de tipo no especificado,C00-D48
C96,"Otros tumores malignos y los no especificados del tejido linfático, de los órganos hernatopoyéticos y de tejidos afines",C00-D48
C97,Tumores malignos (primarios) de sitios múltiples independientes,C00-D48
D00,"Carcinoma in situ de la cavidad bucal, del esófago y del estomago",C00-D48
D01,Carcinoma in situ de otros órganos digestivos y de los no especificados,C00-D48
D02,Carcinoma in situ del sistema respiratorio y del oído medio,C00-D48
D03,Melanoma in situ,C00-D48
D04,Carcinoma in situ de la piel,C00-D48
D05,Carcinoma in situ de la mama,C00-D48
D06,Carcinoma in situ del cuello del útero,C00-D48
D07,Carcinoma in situ de otros órganos genitales y de los no especificados,C00-D48
D09,Carcinoma in situ de otros sitios y de los no especificados,C00-D48
D10,Tumor benigno de la boca y de la faringe,C00-D48
D11,Tumor benigno de las glándulas salivales mayores,C00-D48
D12,"Tumor benigno del colon, del recto, del conducto anal y del ano",C00-D48
D13,Tumor benigno de otras partes y de las mal definidas del sistema digestivo,C00-D48
D14,Tumor benigno del oído medio y del sistema respiratorio,C00-D48
D15,Tumor benigno de otros órganos intratoracicos y de los no especificados,C00-D48
D16,Tumor benigno del hueso y del cartilago articular,C00-D48
D17,Tumores benignos lipomatosos,C00-D48
D18,Hemangioma y linfangioma de cualquier sitio,C00-D48
D19,Tumores benignos del tejido mesotelial,C00-D48
D20,Tumor benigno del tejido blando del peritoneo y del retroperitoneo,C00-D48
D21,Otros tumores benignos del tejido conjuntivo y de los tejidos blandos,C00-D48
D22,Nevo melanocitico,C00-D48
D23,Otros tumores benignos de la piel,C00-D48
D24,Tumor benigno de la mama,C00-D48
D25,Leiomioma del útero,C00-D48
D26,Otros tumores benignos del tuero,C00-D48
D27,Tumor benigno del ovario,C00-D48
D28,Tumor benigno de otros órganos genitales femeninos y de los no especificados,C00-D48
D29,Tumor benigno de los órganos genitales masculinos,C00-D48
D30,Tumor benigno de los órganos urinarios,C00-D48
D31,Tumor benigno del ojo y sus anexos,C00-D48
D32,Tumores benignos de las meninges,C00-D48
D33,Tumor benigno del encéfalo y de otras partes del sistema nervioso central,C00-D48
D34,Tumor benigno de la glándula tiroides,C00-D48
D35,Tumor benigno de otras glándulas endocrinas y de las no especificadas,C00-D48
D36,Tumor benigno de otros sitios y de los no especificados,C00-D48
D37,Tumor de comportamiento incierto o desconocido de la cavidad bucal y de los órganos digestivos,C00-D48
D38,Tumor de comportamiento incierto o desconocido del oído medio y de los órganos respiratorios e intratoracicos,C00-D48
D39,Tumor de comportamiento incierto o desconocido de los órganos genitales femeninos,C00-D48
D40,Tumor de comportarniento incierto o desconocido de los órganos genitales masculinos,C00-D48
D41,Tumor de comportamiento incierto o desconocido de los órganos urinarios,C00-D48
D42,Tumor de comportamiento incierto o desconocido de las meninges,C00-D48
D43,Tumor de comportamiento incierto o desconocido del encéfalo y del sistema nervioso central,C00-D48
D44,Tumor de comportamiento incierto o desconocido de las glándulas endocrinas,C00-D48
D45,Policitemia vera,C00-D48
D46,Sindromes mielodisplasicos,C00-D48
D47,"Otros tumores de comportamiento incierto o desconocido del tejido linfático, de los órganos hematopoyeticos y de tejidos afines",C00-D48
D48,Tumor de comportamiento incierto o desconocido de otros sitios y de los no especificados,C00-D48
D50,Anemias por deficiencia de hierro,D50-D89
D51,Anernia por deficiencia de vitamina B12,D50-D89
D52,Anemia por deficiencia de folatos,D50-D89
D53,Otras anemias nutricionales,D50-D89
D55,Anernia debida a trastornos enzimáticos,D50-D89
D56,Talasemia,D50-D89
D57,Trastornos falciformes,D50-D89
D58,Otras anemias hemoliticas hereditarias,D50-D89
D59,Anemia hemolitica adquirida,D50-D89
D60,"Aplasia adquirida, exclusiva de la serie roja [eritroblastopenia]",D50-D89
D61,Otras anemias aplásticas,D50-D89
D62,Anemia posthemorragica aguda,D50-D89
D63,Anemia en enfermedades crónicas clasificadas en otra parte,D50-D89
D64,Otras anemias,D50-D89
D65,Coagulación intravascular diseminada [sindrome de desfibrinacion],D50-D89
D66,Deficiencia hereditaria del factor VIII,D50-D89
D67,Deficiencia hereditaria del factor IX,D50-D89
D68,Otros defectos de la coagulación,D50-D89
D69,Púrpura y otras afecciones hemorrágicas,D50-D89
D70,Agranulocitosis,D50-D89
D71,Trastornos funcionales de los polimorfonucleares neutrofilos,D50-D89
D72,Otros trastornos de los leucocitos,D50-D89
D73,Enfermedades del bazo,D50-D89
D74,Metahemoglobinemia,D50-D89
D75,Otras enfermedades de la sangre y de los órganos hematopoyeticos,D50-D89
D76,Ciertas enfermedades que afectan al tejido linforreticular y al sistema reticuloendotelial,D50-D89
D77,Otros trastornos de la sangre y de los órganos hematopoyeticos en enfermedades clasificadas en otra parte,D50-D89
D80,Inmunodeficiencia con predominio de defectos de los anticuerpos,D50-D89
D81,Inmunodeficiencias combinadas,D50-D89
D82,Inmunodeficiencia asociada con otros defectos mayores,D50-D89
D83,Inmunodeficiencia variable común,D50-D89
D84,Otras inmunodeficiencias,D50-D89
D86,Sarcoidosis,D50-D89
D89,"Otros trastornos que afectan el mecanismo de la inmunidad, no clasificados en otra parte",D50-D89
E00,Síndrome congénito de deficiencia de yodo,E00-E90
E01,Trastornos tiroideos vinculados a deficiencia de yodo y afecciones,E00-E90
E02,Hipotiroidismo subclinico por deficiencia de yodo,E00-E90
E03,Otro hipotiroidismo,E00-E90
E04,Otro bocio no tóxico,E00-E90
E05,Tirotoxicosis [hipertiroidismo],E00-E90
E06,Tiroiditis,E00-E90
E07,Otros trastornos tiroideos,E00-E90
E10,Diabetes mellitus insulinodependiente,E00-E90
E11,Diabetes mellitus no insulinodependiente,E00-E90
E12,Diabetes mellitus asociada con desnutrición,E00-E90
E13,Otras diabetes mellitus especificadas,E00-E90
E14,"Diabetes mellitus, no especificada",E00-E90
E15,Coma hipoglicemico no diabético,E00-E90
E16,Otros trastornos de la secreción interna del páncreas,E00-E90
E20,Hipoparatiroidismo,E00-E90
E21,Hiperparatiroidismo y otros trastornos de la glándula paratiroides,E00-E90
E22,Hiperfuncion de la glándula hipófisis,E00-E90
E23,Hipofuncion y otros trastornos de la glándula hipofisis,E00-E90
E24,Sindrome de Cushing,E00-E90
E25,Trastornos adrenogenitales,E00-E90
E26,Hiperaldosteronismo,E00-E90
E27,Otros trastornos de la glándula suprarrenal,E00-E90
E28,Disfunción ovarica,E00-E90
E29,Disfunción testicular,E00-E90
E30,"Trastornos de la pubertad, no clasificados en otra parte",E00-E90
E31,Disfunción poliglandular,E00-E90
E32,Enfermedades del timo,E00-E90
E34,Otros trastornos endocrinos,E00-E90
E35,Trastornos endocrinos en enfermedades clasificadas en otra parte,E00-E90
E40,Kwashiorkor,E00-E90
E41,Marasmo nutricional,E00-E90
E42,Kwashiorkor marasmatico,E00-E90
E43,"Desnutrición proteicocalorica severa, no especificada",E00-E90
E44,Desnutrición proteicocalorica de grado moderado y leve,E00-E90
E45,Retardo del desarrollo debido a desnutrición proteicocalorica,E00-E90
E46,"Desnutrición proteicocalorica, no especificada",E00-E90
E50,Deficiencia de vitamina A,E00-E90
E51,Deficiencia de tiamina,E00-E90
E52,Deficiencia de niacina [pelagra],E00-E90
E53,Deficiencias de otras vitaminas del grupo B,E00-E90
E54,Deficiencia de ácido ascorbico,E00-E90
E55,Deficiencia de vitamina D,E00-E90
E56,Otras deficiencias de vitaminas,E00-E90
E58,Deficiencia dietética de calcio,E00-E90
E59,Deficiencia dietética de selenio,E00-E90
E60,Deficiencia dietética de zinc,E00-E90
E61,Deficiencias de otros elementos nutricionales,E00-E90
E63,Otras deficiencias nutricionales,E00-E90
E64,Secuelas de la desnutrición y de otras deficiencias nutricionales,E00-E90
E65,Adiposidad localizada,E00-E90
E66,Obesidad,E00-E90
E67,Otros tipos de hiperalimentación,E00-E90
E68,Secuelas de hiperalimentación,E00-E90
E70,Trastornos del metabolismo de los aminoácidos aromáticos,E00-E90
E71,Trastornos del metabolismo de los aminoácidos de cadena ramificada y de los ácidos grasos,E00-E90
E72,Otros trastornos del metabolismo de los aminoácidos,E00-E90
E73,Intolerancia a la lactosa,E00-E90
E74,Otros trastornos del metabolismo de los carbohidratos,E00-E90
E75,Trastornos del metabolismo de los esfingolipidos y otros trastornos por almacenamiento de lípidos,E00-E90
E76,Trastornos del metabolismo de los glucosaminoglicanos,E00-E90
E77,Trastornos del metabolismo de las glucoproteinas,E00-E90
E78,Trastornos del metabolismo de las lipoproteinas y otras lipidemias,E00-E90
E79,Trastornos del metabolismo de las purinas y de las pirimidinas,E00-E90
E80,Trastornos del metabolismo de las porfirinas y de la bilirrubina,E00-E90
E83,Trastornos del metabolismo de los minerales,E00-E90
E84,Fibrosis quistica,E00-E90
E85,Amiloidosis,E00-E90
E86,Deplecion del volumen,E00-E90
E87,"Otros trastornos de los líquidos, de los electrolitos y del equilibrio ácido-básico",E00-E90
E88,Otros trastornos metabólicos,E00-E90
E89,"Trastornos endocrinos y metabólicos consecutivos a procedimientos, no clasificados en otra parte",E00-E90
E90,Trastornos nutricionales y metabólicos en enfermedades clasificadas en otra parte,E00-E90
F00,Demencia en la enfermedad de Alzheimer (G30.+),F00-F99
F01,Demencia vascular,F00-F99
F02,Demencia en otras enfermedades clasificadas en otra parte,F00-F99
F03,"Demencia, no especificada",F00-F99
F04,"Síndrome amnésico orgánico, no inducido por alcohol o por otras sustancias psicoactivas",F00-F99
F05,"Delirio, no inducido por alcohol o por otras sustancias psicoactivas",F00-F99
F06,"Otros trastornos mentales debidos a lesión y disfunción cerebral, y a enfermedad física",F00-F99
F07,"Trastornos de la personalidad y del comportamiento debidos a enfermedad, lesión o disfunción cerebral",F00-F99
F09,"Trastorno mental orgánico o sintomático, no especificado",F00-F99
F20,Esquizofrenia,F00-F99
F21,Trastorno esquizotipico,F00-F99
F22,Trastornos delirantes persistentes,F00-F99
F23,Trastornos psicoticos agudos y transitorios,F00-F99
F24,Trastorno delirante inducido,F00-F99
F25,Trastornos esquizoafectivos,F00-F99
F28,Otros trastornos psicoticos de origen no orgánico,F00-F99
F29,"Psicosis de origen no orgánico, no especificada",F00-F99
F30,Episodio maníaco,F00-F99
F31,Trastorno afectivo bipolar,F00-F99
F32,Episodio depresivo,F00-F99
F33,Trastorno depresivo recurrente,F00-F99
F34,Trastornos del humor [afectivos] persistentes,F00-F99
F38,Otros trastornos del humor [afectivos],F00-F99
F39,"Trastorno del humor [afectivo], no especificado",F00-F99
F40,Trastornos fobicos de ansiedad,F00-F99
F41,Otros trastornos de ansiedad,F00-F99
F42,Trastorno obsesivo-compulsivo,F00-F99
F43,Reacción al estrés grave y trastornos de adaptación,F00-F99
F44,Trastornos disociativos [de conversión],F00-F99
F45,Trastornos sornatomorfos,F00-F99
F48,Otros trastornos neuróticos,F00-F99
F50,Trastornos de la ingestión de alimentos,F00-F99
F51,Trastornos no orgánicos del sueno,F00-F99
F52,Disfunción sexual no ocasionada por trastorno ni enfermedad orgánicos,F00-F99
F53,"Trastornos mentales y del comportamiento asociados con el puerperio, no clasificados en otra parte",F00-F99
F54,Factores psicológicos y del comportamiento asociados con trastornos o enfermedades clasificados en otra parte,F00-F99
F55,Abuso de sustancias que no producen dependencia,F00-F99
F59,"Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos, no especificados",F00-F99
F60,Trastornos específicos de la personalidad,F00-F99
F61,Trastornos mixtos y otros trastornos de la personalidad,F00-F99
F62,"Cambios perdurables de la personalidad, no atribuibles a lesión o a enfermedad cerebral",F00-F99
F63,Trastornos de los hábitos y de los impulsos,F00-F99
F64,Trastornos de la identidad de genero,F00-F99
F65,Trastornos de la preferencia sexual,F00-F99
F66,Trastornos psicológicos y del comportamiento asociados con el desarrollo y con la orientación sexuales,F00-F99
F68,Otros trastornos de la personalidad y del comportamiento en adultos,F00-F99
F69,"Trastorno de la personalidad y del comportamiento en adultos, no especificado",F00-F99
F70,Retraso mental leve,F00-F99
F71,Retraso mental moderado,F00-F99
F72,Retraso mental grave,F00-F99
F73,Retraso mental profundo,F00-F99
F78,Otros tipos de retraso mental,F00-F99
F79,"Retraso mental, no especificado",F00-F99
F80,Trastornos específicos del desarrollo del habla y del lenguaje,F00-F99
F81,Trastornos específicos del desarrollo de las habilidades escolares,F00-F99
F82,Trastorno especifico del desarrollo de la función motriz,F00-F99
F83,Trastornos específicos mixtos del desarrollo,F00-F99
F84,Trastornos generalizados del desarrollo,F00-F99
F88,Otros trastornos del desarrollo psicológico,F00-F99
F89,"Trastorno del desarrollo psicológico, no especificado",F00-F99
F90,Trastornos hipercineticos,F00-F99
F91,Trastornos de la conducta,F00-F99
F92,Trastornos mixtos de la conducta y de las emociones,F00-F99
F93,Trastornos emocionales de comienzo especifico en la niñez,F00-F99
F94,Trastornos del comportamiento social de comienzo especifico en la niñez y en la adolescencia,F00-F99
F95,Trastornos por tics,F00-F99
F98,Otros trastornos emocionales y del comportamiento que aparecen habitualmente en la niñez y en la adolescencia,F00-F99
F99,"Trastorno mental, no especificado",F00-F99
G00,"Meningitis bacteriana, no clasificada en otra parte",G00-G99
G01,Meningitis en enfermedades bacterianas clasificadas en otra parte,G00-G99
G02,Meningitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte,G00-G99
G03,Meningitis debida a otras causas y a las no especificadas,G00-G99
G04,"Encefalitis, mielitis y encefalomielitis",G00-G99
G05,"Encefalitis, mielitis y encefalomielitis en enfermedades clasificadas en otra parte",G00-G99
G06,Absceso y granuloma intracraneal e intrarraquideo,G00-G99
G07,Absceso y granuloma intracraneal e intrarraquideo en enfermedades,G00-G99
G08,Flebitis y tromboflebitis intracraneal e intrarraquidea,G00-G99
G09,Secuelas de enfermedades inflamatorias del sistema nervioso central,G00-G99
G10,Enfermedad de Huntington,G00-G99
G11,Ataxia hereditaria,G00-G99
G12,Atrofia muscular espinal y síndromes afines,G00-G99
G13,Atrofias sistémicas que afectan primariamente el sistema nervioso central en enfermedades clasificadas en otra parte,G00-G99
G20,Enfermedad de Parkinson,G00-G99
G21,Parkinsonismo secundario,G00-G99
G22,Parkinsonismo en enfermedades clasificadas en otra parte,G00-G99
G23,Otras enfermedades degenerativas de los núcleos de la base,G00-G99
G24,Distonia,G00-G99
G25,Otros trastornos extrapiramidales y del movimiento,G00-G99
G26,Trastornos extrapiramidales y del movimiento en enfermedades clasificadas en otra parte,G00-G99
G30,Enfermedad de Alzheimer,G00-G99
G31,Otras enfermedades degenerativas del sistema nervioso,G00-G99
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades,G00-G99
G35,Esclerosis múltiple,G00-G99
G36,Otras desmielinizaciones diserninadas agudas,G00-G99
G37,Otras enfermedades desmielinizantes del sistema nervioso central,G00-G99
G40,Epilepsia,G00-G99
G41,Estado de mal epiléptico,G00-G99
G43,Migraña,G00-G99
